line_no,len_chars,len_bytes_utf8,len_words,len_tokens_tiktoken
1,6502,6645,1295,2563
2,6502,6645,1295,2563
3,6502,6645,1295,2563
4,6502,6645,1295,2563
5,6502,6645,1295,2563
6,6502,6645,1295,2563
7,6502,6645,1295,2563
8,6502,6645,1295,2563
9,6502,6645,1295,2563
10,6502,6645,1295,2563
11,6502,6645,1295,2563
12,6502,6645,1295,2563
13,6502,6645,1295,2563
14,6502,6645,1295,2563
15,6502,6645,1295,2563
16,6502,6645,1295,2563
17,20173,20187,3876,5528
18,20173,20187,3876,5528
19,20173,20187,3876,5528
20,20173,20187,3876,5528
21,20173,20187,3876,5528
22,20173,20187,3876,5528
23,20173,20187,3876,5528
24,20173,20187,3876,5528
25,20173,20187,3876,5528
26,20173,20187,3876,5528
27,20173,20187,3876,5528
28,20173,20187,3876,5528
29,20173,20187,3876,5528
30,20173,20187,3876,5528
31,20173,20187,3876,5528
32,20173,20187,3876,5528
33,40056,40134,8583,15916
34,40056,40134,8583,15916
35,40056,40134,8583,15916
36,40056,40134,8583,15916
37,40056,40134,8583,15916
38,40056,40134,8583,15916
39,40056,40134,8583,15916
40,40056,40134,8583,15916
41,40056,40134,8583,15916
42,40056,40134,8583,15916
43,40056,40134,8583,15916
44,40056,40134,8583,15916
45,40056,40134,8583,15916
46,40056,40134,8583,15916
47,40056,40134,8583,15916
48,40056,40134,8583,15916
49,8057,8380,1627,2895
50,8057,8380,1627,2895
51,8057,8380,1627,2895
52,8057,8380,1627,2895
53,8057,8380,1627,2895
54,8057,8380,1627,2895
55,8057,8380,1627,2895
56,8057,8380,1627,2895
57,8057,8380,1627,2895
58,8057,8380,1627,2895
59,8057,8380,1627,2895
60,8057,8380,1627,2895
61,8057,8380,1627,2895
62,8057,8380,1627,2895
63,8057,8380,1627,2895
64,8057,8380,1627,2895
65,9064,9064,1601,2055
66,9064,9064,1601,2055
67,9064,9064,1601,2055
68,9064,9064,1601,2055
69,9064,9064,1601,2055
70,9064,9064,1601,2055
71,9064,9064,1601,2055
72,9064,9064,1601,2055
73,9064,9064,1601,2055
74,9064,9064,1601,2055
75,9064,9064,1601,2055
76,9064,9064,1601,2055
77,9064,9064,1601,2055
78,9064,9064,1601,2055
79,9064,9064,1601,2055
80,9064,9064,1601,2055
81,8901,8901,1978,3330
82,8901,8901,1978,3330
83,8901,8901,1978,3330
84,8901,8901,1978,3330
85,8901,8901,1978,3330
86,8901,8901,1978,3330
87,8901,8901,1978,3330
88,8901,8901,1978,3330
89,8901,8901,1978,3330
90,8901,8901,1978,3330
91,8901,8901,1978,3330
92,8901,8901,1978,3330
93,8901,8901,1978,3330
94,8901,8901,1978,3330
95,8901,8901,1978,3330
96,8901,8901,1978,3330
97,10126,10126,1873,3154
98,10126,10126,1873,3154
99,10126,10126,1873,3154
100,10126,10126,1873,3154
101,10126,10126,1873,3154
102,10126,10126,1873,3154
103,10126,10126,1873,3154
104,10126,10126,1873,3154
105,10126,10126,1873,3154
106,10126,10126,1873,3154
107,10126,10126,1873,3154
108,10126,10126,1873,3154
109,10126,10126,1873,3154
110,10126,10126,1873,3154
111,10126,10126,1873,3154
112,10126,10126,1873,3154
113,13694,13718,3131,5533
114,13694,13718,3131,5533
115,13694,13718,3131,5533
116,13694,13718,3131,5533
117,13694,13718,3131,5533
118,13694,13718,3131,5533
119,13694,13718,3131,5533
120,13694,13718,3131,5533
121,13694,13718,3131,5533
122,13694,13718,3131,5533
123,13694,13718,3131,5533
124,13694,13718,3131,5533
125,13694,13718,3131,5533
126,13694,13718,3131,5533
127,13694,13718,3131,5533
128,13694,13718,3131,5533
129,3926,3926,732,1121
130,3926,3926,732,1121
131,3926,3926,732,1121
132,3926,3926,732,1121
133,3926,3926,732,1121
134,3926,3926,732,1121
135,3926,3926,732,1121
136,3926,3926,732,1121
137,3926,3926,732,1121
138,3926,3926,732,1121
